ID,X,Y
92,97,155
92,98,154
92,98,152
92,101,149
92,101,147
92,103,144
92,103,138
92,101,136
92,103,138
92,103,144
92,101,149
92,99,151
92,99,152
92,101,153
92,106,147
92,106,145
92,105,144
92,105,139
92,106,137
92,102,133
92,101,133
92,96,138
92,97,139
92,97,141
92,95,145
92,96,147
92,91,150
92,92,151
92,91,150
92,89,151
92,85,151
92,83,150
92,78,144
92,75,144
92,74,143
92,75,144
92,80,144
92,83,141
92,82,139
92,80,139
92,87,138
92,88,137
92,87,136
92,82,135
92,68,141
92,70,143
92,72,143
92,71,144
92,73,146
92,77,146
92,78,147
92,77,146
92,73,146
92,68,144
92,66,146
92,63,146
92,62,144
92,56,143
92,55,144
92,57,145
92,55,146
92,56,147
92,55,146
92,56,145
92,55,144
92,52,145
92,45,153
92,46,155
92,47,154
92,43,161
92,43,163
92,45,165
92,46,164
92,45,162
92,49,154
92,52,151
92,53,151
92,49,155
92,48,158
92,46,160
92,47,162
92,51,157
92,60,153
92,63,153
92,67,155
92,69,155
92,70,153
92,69,155
92,70,156
92,72,156
92,73,155
92,72,154
92,73,153
92,70,150
92,66,150
92,70,150
92,74,153
92,75,152
92,71,148
92,62,148
92,61,149
92,63,150
92,57,151
92,53,154
92,56,152
92,55,151
92,56,152
92,57,151
92,59,151
92,61,149
92,59,148
92,58,149
92,57,149
92,59,148
92,72,148
92,76,152
92,79,159
92,84,165
92,86,166
92,88,166
92,89,165
92,94,165
92,96,166
92,97,165
92,96,163
92,85,163
92,84,162
92,85,163
92,95,163
92,99,161
92,101,158
92,102,159
92,104,157
92,103,156
92,106,153
92,105,152
92,106,153
92,108,151
92,108,149
92,109,148
92,108,146
92,110,149
92,111,149
92,112,147
92,111,149
92,109,148
92,108,149
92,108,152
92,104,156
92,103,159
92,96,163
92,98,165
92,101,163
92,99,165
92,94,167
92,89,167
92,88,166
92,83,165
92,79,160
92,78,156
92,76,154
92,71,157
92,73,159
92,74,158
92,74,159
92,72,159
92,70,156
92,69,158
92,70,159
92,69,158
92,70,156
92,69,155
92,67,155
92,63,153
92,58,154
92,57,156
92,62,159
92,64,157
92,63,156
92,65,156
92,61,161
92,61,163
92,66,169
92,67,168
92,69,170
92,74,170
92,78,174
92,78,179
92,75,181
92,73,185
92,73,183
92,75,181
92,76,177
92,71,173
92,67,174
92,69,174
92,70,173
92,74,174
92,75,172
92,73,170
92,69,170
92,67,171
92,65,174
92,64,173
92,63,174
92,64,176
92,68,176
92,68,184
92,66,184
92,64,186
92,65,187
92,64,186
92,61,186
92,60,187
92,60,186
92,63,186
92,65,184
92,67,184
92,68,183
92,68,177
92,63,175
92,62,176
92,58,176
92,55,178
92,53,178
92,52,177
92,49,177
92,46,175
92,45,172
92,42,170
92,41,164
92,39,161
92,39,154
92,40,153
92,40,150
92,39,149
92,40,150
92,41,149
92,42,144
92,50,135
92,55,134
92,58,136
92,63,134
92,63,130
92,62,128
92,64,127
92,65,120
92,64,128
92,66,133
92,66,137
92,68,140
92,69,139
92,69,135
92,70,134
92,69,133
92,72,130
92,72,127
92,73,126
92,74,127
92,79,127
92,80,126
92,79,125
92,76,125
92,79,125
92,80,126
92,81,125
92,83,125
92,85,122
92,85,124
92,84,125
92,82,125
92,79,128
92,79,130
92,76,132
92,74,131
92,75,132
92,79,129
92,78,127
